tarefa,categoria
Revisar contratos de convênios,Administrativo
Atualizar políticas internas da clínica,Administrativo
Preparar relatório mensal de performance,Administrativo
Organizar arquivo de documentos legais,Administrativo
Revisar e atualizar manual de procedimentos,Administrativo
Processo seletivo para nova recepcionista,RH
Avaliação de desempenho dos dentistas,RH
Treinamento de atendimento ao cliente,RH
Negociação salarial com funcionários,RH
Organizar confraternização da equipe,RH
Planejamento de férias da equipe,RH
Análise do fluxo de caixa mensal,Financeiro
Reconciliação bancária,Financeiro
Negociação com fornecedores,Financeiro
Cobrança de pacientes inadimplentes,Financeiro
Planejamento orçamentário trimestral,Financeiro
Análise de lucratividade por procedimento,Financeiro
Revisão de preços dos tratamentos,Financeiro
Atualizar protocolos de esterilização,Clínico
Manutenção dos equipamentos odontológicos,Clínico
Capacitação em novas técnicas,Clínico
Revisão de protocolos de emergência,Clínico
Atualização do sistema de prontuários,Clínico
Auditoria de qualidade dos serviços,Clínico
Planejar campanha de marketing digital,Marketing
Atualizar website da clínica,Marketing
Campanha de prevenção bucal,Marketing
Produção de conteúdo educativo,Marketing
Parcerias com escolas locais,Marketing
Análise de concorrência,Marketing
Manutenção preventiva dos equipamentos,Tecnologia
Backup dos dados do sistema,Tecnologia
Atualização do software de gestão,Tecnologia
Treinamento em tecnologia para equipe,Tecnologia
Instalação de câmeras de segurança,Tecnologia
Renovar licenças da vigilância sanitária,Compliance
Auditoria interna de compliance,Compliance
Treinamento em LGPD para equipe,Compliance
Revisão de contratos com terceiros,Compliance
Atualizar políticas de privacidade,Compliance
Gerenciar agenda dos dentistas,Operacional
Controle de estoque de materiais,Operacional
Limpeza e organização das salas,Operacional
Manutenção do ar condicionado,Operacional
Gestão de resíduos odontológicos,Operacional
Participar de congresso odontológico,Educação
Curso de atualização em periodontia,Educação
Workshop de comunicação com pacientes,Educação
Leitura de artigos científicos,Educação
Certificação em especialidades,Educação
Atender reclamações de pacientes,Pacientes
Pesquisa de satisfação,Pacientes
Programa de fidelização,Pacientes
Follow-up pós-tratamento,Pacientes
Orientações de higiene bucal,Pacientes
Lidar com equipamento quebrado,Emergência
Paciente com dor aguda,Emergência
Falta de energia elétrica,Emergência
Problema no sistema de ar comprimido,Emergência
Emergência médica no consultório,Emergência
Definir metas anuais da clínica,Estratégico
Análise SWOT da clínica,Estratégico
Planejamento de expansão,Estratégico
Revisão da missão e visão,Estratégico
Análise de investimentos em equipamentos,Estratégico